test file is  ./DSJC500.5.col.txt
begin to make graph
vertex num 500
edge num 62624
init graph data structure finished !
initialization over, begin tabu search
iter 10000 conflict 68
iter 20000 conflict 58
iter 30000 conflict 34
iter 40000 conflict 40
iter 50000 conflict 42
iter 60000 conflict 30
iter 70000 conflict 34
iter 80000 conflict 20
iter 90000 conflict 32
iter 100000 conflict 44
iter 110000 conflict 40
iter 120000 conflict 38
iter 130000 conflict 46
iter 140000 conflict 48
iter 150000 conflict 28
iter 160000 conflict 36
iter 170000 conflict 34
iter 180000 conflict 26
iter 190000 conflict 20
iter 200000 conflict 6
iter 210000 conflict 26
iter 220000 conflict 22
iter 230000 conflict 20
iter 240000 conflict 14
iter 250000 conflict 18
iter 260000 conflict 32
iter 270000 conflict 36
iter 280000 conflict 22
iter 290000 conflict 26
iter 300000 conflict 30
iter 310000 conflict 36
iter 320000 conflict 30
iter 330000 conflict 34
iter 340000 conflict 32
iter 350000 conflict 12
iter 360000 conflict 32
iter 370000 conflict 30
iter 380000 conflict 26
iter 390000 conflict 24
iter 400000 conflict 10
iter 410000 conflict 20
iter 420000 conflict 34
iter 430000 conflict 26
iter 440000 conflict 36
iter 450000 conflict 52
iter 460000 conflict 42
iter 470000 conflict 24
iter 480000 conflict 24
iter 490000 conflict 34
iter 500000 conflict 28
iter 510000 conflict 32
iter 520000 conflict 18
iter 530000 conflict 44
iter 540000 conflict 36
iter 550000 conflict 32
iter 560000 conflict 28
iter 570000 conflict 18
iter 580000 conflict 20
iter 590000 conflict 12
iter 600000 conflict 16
iter 610000 conflict 30
iter 620000 conflict 32
iter 630000 conflict 32
iter 640000 conflict 34
iter 650000 conflict 44
iter 660000 conflict 40
iter 670000 conflict 42
iter 680000 conflict 46
iter 690000 conflict 46
iter 700000 conflict 26
iter 710000 conflict 26
iter 720000 conflict 30
iter 730000 conflict 14
iter 740000 conflict 14
iter 750000 conflict 30
iter 760000 conflict 34
iter 770000 conflict 24
iter 780000 conflict 32
iter 790000 conflict 40
iter 800000 conflict 20
iter 810000 conflict 34
iter 820000 conflict 34
iter 830000 conflict 28
iter 840000 conflict 26
iter 850000 conflict 26
iter 860000 conflict 18
iter 870000 conflict 26
iter 880000 conflict 32
iter 890000 conflict 20
iter 900000 conflict 38
iter 910000 conflict 24
iter 920000 conflict 16
iter 930000 conflict 14
iter 940000 conflict 30
iter 950000 conflict 20
iter 960000 conflict 22
iter 970000 conflict 30
iter 980000 conflict 40
iter 990000 conflict 26
iter 1000000 conflict 38
iter 1010000 conflict 30
iter 1020000 conflict 38
iter 1030000 conflict 30
iter 1040000 conflict 30
iter 1050000 conflict 30
iter 1060000 conflict 20
iter 1070000 conflict 32
iter 1080000 conflict 20
iter 1090000 conflict 34
iter 1100000 conflict 22
iter 1110000 conflict 52
iter 1120000 conflict 36
iter 1130000 conflict 36
iter 1140000 conflict 28
iter 1150000 conflict 24
iter 1160000 conflict 22
iter 1170000 conflict 24
iter 1180000 conflict 16
iter 1190000 conflict 24
iter 1200000 conflict 16
iter 1210000 conflict 16
iter 1220000 conflict 20
iter 1230000 conflict 18
iter 1240000 conflict 46
iter 1250000 conflict 30
iter 1260000 conflict 32
iter 1270000 conflict 30
iter 1280000 conflict 42
iter 1290000 conflict 24
iter 1300000 conflict 32
iter 1310000 conflict 44
iter 1320000 conflict 48
iter 1330000 conflict 46
iter 1340000 conflict 28
iter 1350000 conflict 40
iter 1360000 conflict 30
iter 1370000 conflict 24
iter 1380000 conflict 12
iter 1390000 conflict 18
iter 1400000 conflict 38
iter 1410000 conflict 50
iter 1420000 conflict 44
iter 1430000 conflict 22
iter 1440000 conflict 32
iter 1450000 conflict 26
iter 1460000 conflict 18
iter 1470000 conflict 16
iter 1480000 conflict 44
iter 1490000 conflict 26
iter 1500000 conflict 16
iter 1510000 conflict 28
iter 1520000 conflict 20
iter 1530000 conflict 34
iter 1540000 conflict 26
iter 1550000 conflict 28
iter 1560000 conflict 36
iter 1570000 conflict 30
iter 1580000 conflict 48
iter 1590000 conflict 20
iter 1600000 conflict 34
iter 1610000 conflict 40
iter 1620000 conflict 46
iter 1630000 conflict 42
iter 1640000 conflict 36
iter 1650000 conflict 54
iter 1660000 conflict 48
iter 1670000 conflict 32
iter 1680000 conflict 46
iter 1690000 conflict 40
iter 1700000 conflict 34
iter 1710000 conflict 20
iter 1720000 conflict 16
iter 1730000 conflict 24
iter 1740000 conflict 28
iter 1750000 conflict 40
iter 1760000 conflict 30
iter 1770000 conflict 30
iter 1780000 conflict 18
iter 1790000 conflict 24
iter 1800000 conflict 22
iter 1810000 conflict 20
iter 1820000 conflict 34
iter 1830000 conflict 40
iter 1840000 conflict 26
iter 1850000 conflict 34
iter 1860000 conflict 38
iter 1870000 conflict 42
iter 1880000 conflict 50
iter 1890000 conflict 22
iter 1900000 conflict 30
iter 1910000 conflict 26
iter 1920000 conflict 34
iter 1930000 conflict 34
iter 1940000 conflict 36
iter 1950000 conflict 22
iter 1960000 conflict 32
iter 1970000 conflict 38
iter 1980000 conflict 40
iter 1990000 conflict 40
iter 2000000 conflict 50
iter 2010000 conflict 32
iter 2020000 conflict 32
iter 2030000 conflict 60
iter 2040000 conflict 40
iter 2050000 conflict 32
iter 2060000 conflict 26
iter 2070000 conflict 26
iter 2080000 conflict 30
iter 2090000 conflict 24
iter 2100000 conflict 18
iter 2110000 conflict 40
iter 2120000 conflict 28
iter 2130000 conflict 18
iter 2140000 conflict 16
iter 2150000 conflict 28
iter 2160000 conflict 34
iter 2170000 conflict 52
iter 2180000 conflict 40
iter 2190000 conflict 22
iter 2200000 conflict 28
iter 2210000 conflict 40
iter 2220000 conflict 22
iter 2230000 conflict 46
iter 2240000 conflict 34
iter 2250000 conflict 36
iter 2260000 conflict 42
iter 2270000 conflict 22
iter 2280000 conflict 40
iter 2290000 conflict 36
iter 2300000 conflict 36
iter 2310000 conflict 26
iter 2320000 conflict 26
iter 2330000 conflict 24
iter 2340000 conflict 38
iter 2350000 conflict 42
iter 2360000 conflict 40
iter 2370000 conflict 42
iter 2380000 conflict 42
iter 2390000 conflict 40
iter 2400000 conflict 40
iter 2410000 conflict 24
iter 2420000 conflict 48
iter 2430000 conflict 44
iter 2440000 conflict 48
iter 2450000 conflict 56
iter 2460000 conflict 44
iter 2470000 conflict 52
iter 2480000 conflict 44
iter 2490000 conflict 40
iter 2500000 conflict 26
iter 2510000 conflict 16
iter 2520000 conflict 20
iter 2530000 conflict 10
iter 2540000 conflict 22
iter 2550000 conflict 46
iter 2560000 conflict 36
iter 2570000 conflict 34
